date,modal_price,seasonal_price,deseasonalized_price,APMC_commodity
2016-03-01,4080.0,27.88888888888874,4052.1111111111113,pen+rice(paddy-hus)
2016-04-01,4070.0,28.888888888889042,4041.111111111111,pen+rice(paddy-hus)
2016-05-01,3938.0,-16.611111111110958,3954.611111111111,pen+rice(paddy-hus)
2016-06-01,4078.0,32.02777777777765,4045.972222222222,pen+rice(paddy-hus)
2016-07-01,3850.0,-17.243055555555603,3867.2430555555557,pen+rice(paddy-hus)
2016-08-01,4073.0,-54.951388888888864,4127.951388888889,pen+rice(paddy-hus)
2016-09-01,3948.0,27.88888888888874,3920.1111111111113,pen+rice(paddy-hus)
2016-10-01,3904.0,28.888888888889042,3875.111111111111,pen+rice(paddy-hus)
2016-11-01,4080.0,-16.611111111110958,4096.611111111111,pen+rice(paddy-hus)
2014-09-01,3300.0,0.9652421289796412,3418.831297270908,umarkhed+soybean
2014-10-01,3313.0,1.0098862177292343,3280.5675944854465,umarkhed+soybean
2014-11-01,2990.0,1.0275961440787433,2909.70340559285,umarkhed+soybean
2014-12-01,3069.0,0.995347490656625,3083.345292783527,umarkhed+soybean
2015-01-01,3053.0,0.9995130542124327,3054.487369757881,umarkhed+soybean
2015-02-01,3018.0,1.0024149643433227,3010.72919634343,umarkhed+soybean
2015-03-01,3107.0,0.9652421289796412,3218.881466854761,umarkhed+soybean
2015-04-01,3160.0,1.0098862177292343,3129.065378380323,umarkhed+soybean
2015-05-01,3480.0,1.0275961440787433,3386.544431927464,umarkhed+soybean
2015-06-01,3255.0,0.995347490656625,3270.214704467377,umarkhed+soybean
2015-07-01,3300.0,0.9995130542124327,3301.607703963645,umarkhed+soybean
2015-08-01,3250.0,1.0024149643433227,3242.170274392362,umarkhed+soybean
2015-09-01,3255.0,0.9652421289796412,3372.210870489941,umarkhed+soybean
2015-10-01,3537.0,1.0098862177292343,3502.3747605478493,umarkhed+soybean
2015-11-01,3518.0,1.0275961440787433,3423.5239400921887,umarkhed+soybean
2015-12-01,3541.0,0.995347490656625,3557.5515417877054,umarkhed+soybean
2016-01-01,3473.0,0.9995130542124327,3474.6919866259814,umarkhed+soybean
2016-02-01,3467.0,1.0024149643433227,3458.6474896364057,umarkhed+soybean
2016-03-01,3369.0,0.9652421289796412,3490.315951668391,umarkhed+soybean
2016-04-01,3586.0,1.0098862177292343,3550.895078124,umarkhed+soybean
2016-05-01,3556.0,1.0275961440787433,3460.503448256914,umarkhed+soybean
2016-06-01,3571.0,0.995347490656625,3587.691769478649,umarkhed+soybean
2016-07-01,3638.0,0.9995130542124327,3639.7723718241637,umarkhed+soybean
2016-08-01,3700.0,1.0024149643433227,3691.0861585389966,umarkhed+soybean
2016-09-01,3500.0,0.9652421289796412,3626.0331940752053,umarkhed+soybean
2016-10-01,2748.0,1.0098862177292343,2721.098626515547,umarkhed+soybean
2016-11-01,2722.0,1.0275961440787433,2648.9005585363666,umarkhed+soybean
2014-09-01,1533.0,-18.72685185185191,1551.726851851852,umarkhed-danki+wheat(husked)
2014-10-01,1525.0,15.328703703703745,1509.6712962962963,umarkhed-danki+wheat(husked)
2014-11-01,1519.0,-3.254629629629587,1522.2546296296296,umarkhed-danki+wheat(husked)
2014-12-01,1500.0,5.710648148148089,1494.289351851852,umarkhed-danki+wheat(husked)
2015-01-01,1500.0,0.7314814814814603,1499.2685185185185,umarkhed-danki+wheat(husked)
2015-02-01,1500.0,0.21064814814820276,1499.7893518518517,umarkhed-danki+wheat(husked)
2015-03-01,1488.0,-18.72685185185191,1506.726851851852,umarkhed-danki+wheat(husked)
2015-04-01,1488.0,15.328703703703745,1472.6712962962963,umarkhed-danki+wheat(husked)
2015-05-01,1450.0,-3.254629629629587,1453.2546296296296,umarkhed-danki+wheat(husked)
2015-06-01,1463.0,5.710648148148089,1457.289351851852,umarkhed-danki+wheat(husked)
2015-07-01,1500.0,0.7314814814814603,1499.2685185185185,umarkhed-danki+wheat(husked)
2015-08-01,1500.0,0.21064814814820276,1499.7893518518517,umarkhed-danki+wheat(husked)
2015-09-01,1440.0,-18.72685185185191,1458.726851851852,umarkhed-danki+wheat(husked)
2015-10-01,1550.0,15.328703703703745,1534.6712962962963,umarkhed-danki+wheat(husked)
2015-11-01,1550.0,-3.254629629629587,1553.2546296296296,umarkhed-danki+wheat(husked)
2015-12-01,1550.0,5.710648148148089,1544.289351851852,umarkhed-danki+wheat(husked)
2016-01-01,1550.0,0.7314814814814603,1549.2685185185185,umarkhed-danki+wheat(husked)
2016-02-01,1519.0,0.21064814814820276,1518.7893518518517,umarkhed-danki+wheat(husked)
2016-03-01,1550.0,-18.72685185185191,1568.726851851852,umarkhed-danki+wheat(husked)
2016-04-01,1550.0,15.328703703703745,1534.6712962962963,umarkhed-danki+wheat(husked)
